repetition,method,MISE,Time,M,n,graphon
32,JGS,0.000642855344952495,0.032653093338012695,50,100,0
32,SIGL,0.0022110669731590076,31.827555656433105,50,100,0
32,SGWB,0.011373029163820587,0.4897193908691406,50,100,0
32,SBA,0.050717210617943265,0.14156150817871094,50,100,0
32,SAS,0.07444016857778685,0.021786212921142578,50,100,0
32,USVT,0.044586765806809196,0.003953695297241211,50,100,0
33,JGS,0.0009149834465734478,0.039209842681884766,50,100,0
33,SIGL,0.0012045109259597616,31.76304030418396,50,100,0
33,SGWB,0.011033504849575628,0.4998359680175781,50,100,0
33,SBA,0.06509745993562566,0.13158416748046875,50,100,0
33,SAS,0.07511734840080796,0.019789934158325195,50,100,0
33,USVT,0.04584859466345789,0.006029844284057617,50,100,0
34,JGS,0.0012325554744915725,0.03443288803100586,50,100,0
34,SIGL,0.0008336608037481956,28.251216173171997,50,100,0
34,SGWB,0.010284320364250154,0.5080504417419434,50,100,0
34,SBA,0.061543943801160905,0.0636909008026123,50,100,0
34,SAS,0.07511819402318438,0.008400201797485352,50,100,0
34,USVT,0.04566265959420813,0.00408482551574707,50,100,0
35,JGS,0.0005121603284613611,0.03203296661376953,50,100,0
35,SIGL,0.0007985651042071262,32.57494783401489,50,100,0
35,SGWB,0.011519833946627029,0.5134823322296143,50,100,0
35,SBA,0.051418093324435615,0.07623004913330078,50,100,0
35,SAS,0.07526668453329352,0.0076694488525390625,50,100,0
35,USVT,0.045844654675142094,0.00390934944152832,50,100,0
36,JGS,0.0004267027431500048,0.032855987548828125,50,100,0
36,SIGL,0.0011320441021245608,28.97055435180664,50,100,0
36,SGWB,0.011784720827834832,0.49779486656188965,50,100,0
36,SBA,0.06479103183428657,0.10330724716186523,50,100,0
36,SAS,0.07504249834368017,0.0211331844329834,50,100,0
36,USVT,0.044850160844083616,0.005609035491943359,50,100,0
37,JGS,0.0011438324599276285,0.03285408020019531,50,100,0
37,SIGL,0.0014769832781359542,29.682612419128418,50,100,0
37,SGWB,0.010293914892117497,0.5086398124694824,50,100,0
37,SBA,0.05798542053025097,0.1600186824798584,50,100,0
37,SAS,0.07583989651929138,0.019132137298583984,50,100,0
37,USVT,0.04721072625441376,0.006433010101318359,50,100,0
38,JGS,0.00052076424845112,0.05042004585266113,50,100,0
38,SIGL,0.0009335690507014762,19.657177209854126,50,100,0
38,SGWB,0.014670160694928923,0.4988822937011719,50,100,0
38,SBA,0.06438881530729185,0.09820318222045898,50,100,0
